Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Industry PE,Price to Earning,Promoter holding,Pledged percentage,Change in promoter holding,Debt,Debt to equity,Return on capital employed,Return on equity,Net profit,Net Profit preceding year,Return over 1week,Return over 1month,Return over 1year,EPS,EPS latest quarter,EPS preceding quarter,EPS last year,EPS preceding year,EPS preceding year quarter,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,Sales,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Working capital,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Free cash flow last year,Free cash flow preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Material cost last year,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,Average return on equity 5Years,Profit growth,Sales growth,Average return on equity 3Years,Net Profit latest quarter,Net Profit preceding quarter
Transport Corp.,532349,TCI,Miscellaneous,1158.40,9027.02,28.90,23.69,68.78,0.00,-0.16,221.70,0.11,19.92,19.05,382.40,320.59,2.53,2.75,38.47,48.70,13.66,11.69,45.12,40.91,11.21,30.65,19.18,23.06,16.54,1.21,4246.80,31.02,19.51,23.32,17.29,297.48,470.29,421.27,335.50,980.90,504.18,430.58,317.32,57.40,208.17,562.86,843.04,866.18,0.00,12.82,7.88,10.97,6.10,18.77,12.26,9.19,20.42,107.30,91.60
Transworld Shipp,520151,TRANSWORLD,Shipping,441.60,969.75,21.89,157.68,70.44,0.00,0.00,381.64,0.48,-3.91,-11.28,6.15,196.90,10.39,-2.47,55.66,2.80,9.69,0.90,-23.23,89.67,-16.04,,,,,,380.00,,,,,202.49,299.20,175.97,121.02,165.56,176.91,120.33,56.66,64.43,-208.37,-309.85,-193.33,-289.66,0.00,-20.40,-14.69,-12.47,-5.31,12.63,-79.13,19.86,14.67,21.28,1.97
Trident Lifeline,543616,,Pharmaceuticals - Indian - Bulk Drugs & Formln,280.00,321.98,39.47,44.47,62.99,0.00,-2.52,22.84,0.40,14.66,12.04,7.24,6.02,5.66,0.00,47.37,7.15,4.69,2.46,5.51,5.24,2.70,,,,,,55.30,,,,,,,,,44.00,,,,-15.66,-25.92,-42.25,,,65.76,,,,,,1.97,51.71,,4.41,2.83
Trimurthi,536565,,Finance & Investments,24.15,24.03,23.67,801.00,66.56,0.00,0.02,0.00,0.00,-0.27,-0.27,0.03,-0.06,0.00,5.00,88.82,0.09,0.13,-0.35,0.01,-0.07,-0.09,25.86,,,,,5.90,25.86,,,,0.00,0.00,0.00,0.04,8.79,4.68,8.65,8.97,-0.32,-2.41,-3.97,-2.49,-1.83,85.52,50.77,4.46,3.00,-2.46,-10.67,118.75,41.15,-7.20,0.13,-0.35
Trinity League,531846,,Finance & Investments,13.99,11.08,23.67,,61.01,0.00,1.31,0.00,0.00,-60.09,-60.16,-1.74,0.11,-2.17,-3.05,-19.13,-2.20,-0.06,-0.51,-3.41,0.14,-0.93,,,,,,0.07,,,,,0.80,,,,2.46,0.57,,,-0.21,-2.08,-3.46,-2.51,,0.00,-32.14,,,,,-569.23,-41.67,-21.65,-0.05,-0.40
Tyche Industries,532384,,Pharmaceuticals - Indian - Bulk Drugs,193.15,197.98,33.34,14.53,61.97,0.00,0.00,0.00,0.00,13.66,10.05,13.11,14.17,-1.35,-7.87,0.42,12.79,3.89,2.66,11.94,13.82,3.06,-16.09,11.35,21.79,8.29,1.28,72.48,-16.09,11.35,21.79,8.29,0.00,0.04,0.00,11.35,100.15,78.53,42.09,22.02,4.48,4.68,13.74,41.64,54.50,41.98,-3.87,5.20,7.24,-3.98,15.30,-6.71,-7.57,10.93,3.99,2.73
Ucal,500464,UCAL,Auto Ancillaries,196.33,434.09,31.11,,70.28,0.00,0.00,256.97,0.70,2.50,-6.64,-20.94,0.85,-3.64,9.61,35.07,-9.47,0.22,-1.14,-11.42,0.38,-0.67,,,,,,764.44,,,,,273.69,230.02,254.97,356.80,74.80,104.94,30.96,28.50,-46.83,43.11,45.19,103.46,219.50,52.42,1.74,-3.63,-1.27,1.18,3.31,-65.01,2.80,0.91,0.49,-2.51
Ultra Wiring,,UWCSL,Auto Ancillaries,166.85,86.82,31.11,20.67,74.13,0.00,0.00,6.16,0.27,14.52,10.69,4.20,2.23,-7.61,29.04,45.53,8.07,7.05,1.02,3.75,4.29,2.73,28.92,14.06,-22.11,,1.47,51.45,28.92,14.06,14.63,,4.39,5.04,3.67,,9.05,8.05,8.15,3.30,0.71,-1.01,0.05,0.51,1.67,60.63,25.94,16.09,15.85,,10.08,107.92,23.86,11.62,3.67,0.53
Unichem Labs.,506690,UNICHEMLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,725.55,5108.29,39.47,102.06,70.22,0.00,0.00,300.10,0.13,0.39,-1.17,-5.57,-202.23,0.83,-9.62,62.86,-0.79,4.33,1.32,-10.01,-28.72,-3.48,,5.87,,,17.39,1774.67,,5.87,,,119.10,199.67,98.08,25.68,1252.52,739.91,934.41,445.46,3.08,-123.04,-506.41,-1121.27,-1911.32,38.98,11.34,7.64,13.61,4.17,-1.85,149.31,14.98,-2.33,30.49,9.26
United Van Der,522091,,Miscellaneous,128.20,158.58,33.51,52.68,74.94,0.00,2.88,26.10,0.51,8.12,4.70,3.01,2.34,4.87,-5.07,33.89,2.43,1.50,0.14,1.49,2.09,0.28,58.58,20.26,11.93,13.41,2.31,24.87,72.57,22.84,12.70,18.46,15.00,9.50,4.48,3.74,18.40,7.88,3.25,-1.96,-8.66,-8.15,-20.96,-22.43,-25.85,32.59,36.43,31.26,44.21,13.98,4.75,44.71,17.81,5.70,1.86,0.17
Univastu India,,UNIVASTU,Construction,272.15,309.29,25.63,32.94,71.20,0.00,0.00,38.77,0.68,23.66,14.59,13.22,6.64,5.57,13.40,163.84,8.26,2.71,1.30,6.24,5.83,1.31,-9.55,9.49,21.38,,3.50,139.64,-9.55,9.42,26.74,,39.71,26.89,6.39,,76.97,68.05,37.76,10.86,6.50,9.45,27.55,23.44,6.79,32.77,32.98,3.61,16.40,,18.61,54.70,30.07,15.00,4.05,2.10
Uno Minda,532539,UNOMINDA,Auto Ancillaries,1066.55,61237.44,31.11,67.87,68.75,0.00,0.00,2132.70,0.40,19.94,18.89,983.79,700.23,3.41,-2.52,52.07,16.15,4.27,3.47,15.33,11.41,3.93,58.58,23.36,23.97,65.54,2.75,15379.23,61.46,24.71,26.67,68.07,1159.23,1082.60,509.51,307.71,2023.81,419.18,604.31,531.43,-53.55,-145.77,-381.44,130.40,-248.39,64.60,30.09,18.89,22.52,23.45,14.81,21.53,22.85,16.56,266.16,210.80
Varroc Engineer,541578,VARROC,Auto Ancillaries,633.55,9679.78,31.11,18.35,75.00,0.00,0.00,1204.44,0.75,17.48,41.91,534.13,-817.13,7.55,22.57,13.01,34.53,3.64,2.12,34.43,-53.66,3.55,40.86,1.63,-24.85,,4.36,7839.07,40.86,4.21,7.69,,3694.60,2432.17,1510.26,,135.35,288.00,-250.51,522.54,420.01,115.68,327.69,100.25,-353.58,62.68,19.97,-8.90,-2.93,,-18.33,217.30,10.19,-27.08,57.80,34.07
Vedant Asset,543623,,Finance & Investments,83.27,23.00,23.67,74.19,73.16,0.00,0.00,0.00,0.00,6.03,4.52,0.31,0.26,-5.00,-36.92,102.11,1.12,0.69,0.43,0.87,0.94,0.43,20.47,,,,,2.90,188.45,,,,0.17,,,,4.49,0.58,,,-0.78,0.27,-1.32,-1.37,,1.57,35.99,,,,,47.62,40.10,5.50,0.19,0.12
Veljan Denison,505232,,Engineering,1261.70,567.77,43.32,26.49,74.98,0.00,0.00,4.37,0.02,14.20,10.65,21.43,14.58,4.66,-24.20,26.18,47.62,12.36,11.13,45.27,32.40,9.60,37.85,4.58,5.01,9.24,5.78,132.57,37.85,4.58,5.01,9.24,9.64,19.22,34.04,19.51,123.08,103.76,113.48,123.74,2.17,3.58,9.84,34.64,48.23,36.41,19.00,7.22,6.61,5.67,8.78,41.27,17.45,9.73,5.56,5.01
Vertex Secur.,531950,,Finance & Investments,5.60,41.45,17.16,40.64,73.41,0.00,0.00,5.53,0.56,6.08,5.05,1.02,-0.55,-3.45,-6.82,17.40,0.14,0.03,0.01,0.06,-0.07,0.00,-11.15,8.68,-0.30,8.12,4.68,10.03,-11.15,8.68,-0.30,8.61,6.16,3.36,2.84,12.28,11.30,5.29,5.41,14.21,-15.15,-8.54,-14.13,-11.32,-10.15,0.00,0.81,3.58,2.37,5.16,-7.03,206.25,48.37,0.71,0.19,0.09
Viaz Tyres,,VIAZ,Tyres,70.50,86.37,32.50,34.00,73.08,0.00,0.00,13.39,0.38,9.46,7.34,2.54,2.02,5.54,2.47,20.51,2.07,1.06,1.01,1.93,1.65,0.92,10.46,,,,,56.64,57.21,,,,20.48,,,,36.11,16.99,,,1.58,-12.71,-9.59,-24.35,,80.74,20.01,,,,,54.88,27.34,10.35,1.30,1.24
Viceroy Hotels,523796,VHLTD,Hotels,117.53,794.26,38.46,13.42,90.00,0.00,-5.00,66.69,0.37,2.46,,56.56,-0.05,-5.43,-8.64,3472.34,5.27,5.55,0.10,0.22,-0.01,0.22,29.12,17.47,14.16,9.28,0.72,145.60,30.60,18.67,15.75,10.19,629.27,539.68,464.01,404.17,28.10,-221.48,-215.28,-236.32,10.00,20.20,23.63,20.37,47.02,0.00,58.56,2.45,1.50,2.81,,12965.22,28.74,,59.66,1.09
Vidhi Specialty,531717,VIDHIING,Dyes And Pigments,552.70,2760.46,30.74,72.62,64.27,0.00,0.00,29.94,0.10,17.28,13.76,38.01,37.86,1.11,16.54,31.60,7.61,2.08,1.69,7.33,7.58,1.82,-0.09,4.73,13.98,19.72,15.35,317.86,-0.09,4.73,13.98,19.73,30.74,43.98,62.26,43.50,187.26,147.35,114.95,99.66,43.58,53.09,34.52,65.38,114.83,62.88,4.43,5.85,6.71,7.83,21.47,11.76,-5.31,19.30,10.39,8.46
Vinati Organics,524200,VINATIORGA,Chemicals,1784.20,18496.02,35.13,49.51,74.28,0.84,0.00,7.67,0.00,18.54,13.83,373.61,419.17,1.71,-4.38,2.50,36.10,10.24,8.30,31.20,40.78,7.05,5.98,2.55,12.60,13.82,18.20,2076.28,6.29,2.72,12.67,14.40,2.02,3.68,2.32,161.58,687.70,368.65,349.48,214.14,108.73,216.37,285.54,701.35,787.78,53.23,25.80,10.99,16.80,10.56,19.63,5.68,7.16,18.02,106.11,86.00
Vintron Info.,517393,,Trading,40.56,352.69,36.80,9.02,66.83,0.00,-7.10,10.48,0.29,146.65,2328.67,39.10,-1.08,-5.92,-14.56,141.57,4.99,2.86,-0.02,2.12,-0.14,-0.01,94.46,55.48,21.05,49.96,0.16,532.22,94.46,55.48,21.05,49.96,14.23,16.85,13.85,10.49,45.90,0.51,-0.89,2.54,-9.81,0.20,-7.88,-2.44,-3.42,89.96,141.32,48.72,34.45,21.58,,1837.78,8037.92,,22.41,-0.19
Vishnu Prakash R,543974,VPRPL,Construction,300.55,3746.18,25.63,30.46,67.81,0.00,0.00,562.33,0.74,24.71,23.59,122.99,90.64,4.25,2.49,37.11,9.87,1.90,1.18,9.80,9.70,1.70,13.28,17.67,,,0.52,1490.69,86.02,58.46,,,110.78,123.96,,,1101.79,164.19,141.33,,-368.41,-73.82,-473.57,-411.27,-400.14,35.59,44.93,32.04,,,26.71,22.63,13.69,28.93,23.73,14.76
Vital Chemtech,,VITAL,Chemicals,74.90,179.39,35.13,,73.43,0.00,0.00,25.48,0.28,0.34,-0.74,-0.85,8.05,2.11,-4.28,-22.38,-0.35,0.96,-1.32,-0.54,3.36,0.78,,,,,,114.42,,,,,,,,,30.28,,,,-6.83,-17.82,-46.58,,,76.82,,,,,,-122.19,8.05,,2.31,-3.16
Viviana Power,,VIVIANA,Transmisson Line Towers / Equipment,1025.80,612.40,81.47,72.30,73.40,0.00,0.02,19.82,0.40,34.08,30.50,8.48,3.01,-0.67,13.61,291.00,14.20,7.54,6.67,10.97,5.04,4.19,-36.85,,,,,90.42,86.96,,,,7.21,,,,49.50,5.98,,,-4.18,-11.58,-15.31,-14.02,,51.18,42.74,,,,,108.11,125.32,31.27,4.50,3.98
Voith Paper,522122,,Textiles - Products,2107.75,925.30,29.32,24.65,74.04,0.00,0.00,0.15,0.00,14.71,10.94,37.53,31.76,0.37,0.43,-2.26,85.44,23.40,23.36,82.62,72.30,21.95,10.36,9.45,10.81,10.90,2.61,183.52,10.36,9.45,10.81,10.90,0.00,0.00,0.00,0.00,246.70,180.45,138.70,135.21,1.40,5.76,22.12,47.89,48.05,34.26,14.86,9.90,11.95,11.74,10.87,3.90,5.31,10.74,10.28,10.26
VTM,532893,,Textiles - Processing,179.00,720.07,29.50,31.13,75.00,0.00,0.00,20.71,0.07,7.33,5.55,23.13,9.14,3.17,25.88,181.58,5.75,2.43,1.30,4.55,2.27,1.25,20.08,11.28,8.74,2.26,2.76,247.11,20.08,11.28,8.74,2.26,10.26,7.72,10.46,1.80,155.74,49.40,53.08,38.03,-24.90,14.55,-6.66,2.71,5.48,61.06,13.40,5.41,4.74,2.09,4.48,63.93,26.15,4.51,9.77,5.23
W H Brady,501391,,Trading,911.05,232.32,36.80,21.51,73.76,0.00,0.00,8.70,0.13,20.85,13.32,13.41,6.84,1.27,1.67,68.78,42.35,12.86,11.84,35.14,21.37,6.75,19.67,10.18,12.62,4.86,2.11,104.14,19.67,10.18,12.62,4.86,3.80,13.56,21.74,23.71,31.14,27.33,27.85,28.07,4.96,8.66,17.96,35.03,48.01,48.33,19.48,8.66,8.81,6.81,10.09,52.76,42.50,11.58,3.94,3.68
Waaree Renewab.,534618,,Engineering - Turnkey Services,1391.60,14506.95,72.88,72.88,74.44,0.00,-0.02,32.44,0.10,107.10,80.24,199.04,59.41,8.38,-4.22,158.72,19.11,5.14,2.73,14.30,5.71,1.98,299.05,196.94,203.78,89.47,0.30,1356.24,299.12,243.74,237.24,103.86,36.94,36.23,0.00,0.00,216.07,34.68,3.75,6.94,107.72,-28.19,112.97,119.53,120.74,74.35,385.06,180.11,218.65,111.25,63.70,176.25,230.45,73.77,53.58,28.47
Walpar Nutrition,,WALPAR,Pharmaceuticals - Indian - Bulk Drugs & Formln,52.50,49.30,39.47,19.96,68.44,0.00,-2.79,8.56,0.55,12.75,11.89,2.70,0.81,4.27,5.00,28.21,2.63,1.37,1.26,1.68,0.65,0.43,94.11,,,,,63.91,117.31,,,,7.49,,,,13.76,9.08,,,3.48,-4.14,-5.58,,,79.64,117.58,,,,,79.18,28.44,7.79,1.41,1.29
Welspun Investme,533252,WELINV,Finance & Investments,924.80,337.55,23.67,93.25,74.58,0.00,0.00,0.00,0.00,1.15,0.86,3.62,5.48,1.15,1.23,40.33,9.91,9.88,0.05,7.61,15.00,7.83,52.10,37.78,77.54,8.37,2.47,5.23,52.10,37.78,77.54,8.37,0.00,0.00,0.00,0.00,1.41,0.31,0.15,0.03,-1.30,-2.18,-4.79,-5.66,-6.22,0.00,44.46,18.20,25.13,13.94,2.28,-31.83,-29.32,1.69,3.61,0.02
Welspun Living,514162,WELSPUNLIV,Textiles - Products,163.49,15888.10,29.32,22.90,66.24,0.00,-4.26,3164.21,0.69,16.10,15.62,697.95,202.51,4.70,-1.14,8.27,7.30,2.07,1.91,7.01,1.98,2.02,8.89,13.90,0.81,23.22,1.74,10395.69,7.69,13.14,0.33,22.83,2940.27,3310.39,3311.37,3029.32,3979.48,2873.67,2045.45,2050.94,273.61,511.25,865.51,1685.08,1972.85,49.42,9.66,8.20,5.54,8.36,13.50,31.89,19.27,12.09,202.40,185.95
Wendt India,505412,WENDT,Abrasives And Grinding Wheels,16383.50,3276.70,62.06,79.24,75.00,0.00,0.00,0.17,0.00,24.67,18.48,41.35,40.09,-1.72,3.17,14.67,206.75,53.45,38.40,204.75,200.45,44.75,47.60,19.08,17.65,12.17,4.15,229.29,47.60,19.08,17.65,12.17,1.00,0.00,0.00,0.00,158.39,43.66,33.70,38.62,13.75,23.19,68.93,70.72,112.34,36.16,18.41,6.63,6.48,7.50,15.12,1.27,7.99,19.10,10.69,7.68
Windlas Biotech,543329,WINDLAS,Pharmaceuticals - Indian - Formulations,1010.05,2111.04,39.32,34.48,62.51,0.00,0.00,18.96,0.04,18.17,13.66,61.23,42.63,-3.21,-7.05,102.80,29.37,7.49,6.45,27.98,20.04,6.75,-16.72,-4.22,,,1.63,695.65,23.29,21.20,,,32.35,31.84,,,263.40,108.75,20.85,,71.32,-9.01,56.75,72.09,91.57,62.79,13.85,15.48,,,12.14,31.03,24.70,12.33,15.66,13.48
WPIL,505872,,Engineering - Turnkey Services,716.65,6999.58,35.52,35.52,70.80,0.00,0.00,403.10,0.30,20.42,46.17,713.69,219.68,-2.81,5.37,84.98,51.96,6.17,3.96,48.62,19.36,3.53,78.02,30.44,120.62,29.05,1.17,1875.50,78.02,30.44,120.62,31.71,311.81,137.99,272.59,194.70,1321.81,391.84,256.91,276.22,-131.13,154.93,114.01,295.58,597.39,20.88,18.71,7.55,12.98,12.58,27.54,9.66,15.92,32.56,70.22,43.05
Yaan Enterprises,538521,,Construction,80.65,25.00,35.07,49.02,68.55,0.00,0.00,0.78,0.19,16.57,12.68,0.51,0.06,-2.74,7.86,178.10,1.65,0.10,0.03,1.58,0.19,0.03,90.38,17.37,27.39,11.40,2.82,5.74,90.38,17.37,27.39,11.40,0.00,0.00,0.00,0.16,4.71,3.71,6.24,4.51,-0.09,0.09,-0.03,-1.44,-4.58,19.48,37.64,-4.98,0.20,-3.61,3.34,537.50,173.33,3.32,0.03,0.01
Yatharth Hospit.,543950,YATHARTH,Healthcare,567.90,5471.96,58.09,42.36,66.54,0.00,0.00,90.12,0.10,23.88,21.66,129.17,65.77,-3.63,-8.23,50.18,15.05,3.61,3.54,13.33,10.04,3.21,6.35,40.57,29.26,,0.44,774.09,84.73,95.78,68.01,,193.41,175.28,85.14,,472.15,18.54,2.12,10.90,-96.44,43.97,-31.89,-12.43,-57.03,0.00,43.39,47.36,36.74,,27.06,51.59,27.50,29.02,30.95,30.38
Yatra Online,543992,YATRA,Travel Agencies,119.49,1874.99,96.69,104.28,64.46,0.00,0.00,52.49,0.07,3.54,-1.00,17.98,7.63,7.00,11.37,-19.94,1.15,0.47,0.26,-0.29,0.67,-1.09,25.90,14.85,,,7.13,555.22,24.73,14.62,,,61.49,116.15,,,486.95,52.13,-6.05,,-168.93,-167.51,-429.65,-392.40,,0.00,49.87,-12.95,,,-10.92,331.11,34.40,-3.00,7.30,4.04
Zeal Global Serv,,ZEAL,Miscellaneous,178.00,236.91,28.90,14.24,73.40,0.00,0.00,12.34,0.16,30.47,27.01,16.64,9.85,-0.25,-6.81,-15.22,12.50,6.90,5.60,9.03,10.08,3.44,-33.23,,,,,269.23,87.62,,,,1.71,,,,34.30,3.23,,,2.56,-18.67,-9.32,-6.25,,0.00,47.16,,,,,64.92,79.00,40.67,9.19,7.45
